"Year";"Site";"Tax_ID";"Cover";"Location";"Latitude";"Longitude";"Depth";"DatasetID";"Area";"Country";"Archipelago"
2016;"SL1";"Abiotic";1,602891566;"Isla Solarte";9,312184;-82,217241;5,00000016;"DATA5.2";"Caribbean";"Panama";"Bocas del Toro"
2016;"SL1";"Hard Coral";59,00071355;"Isla Solarte";9,312184;-82,217241;5,00000016;"DATA5.2";"Caribbean";"Panama";"Bocas del Toro"
2016;"SL1";"Soft Coral";3,555109741;"Isla Solarte";9,312184;-82,217241;5,00000016;"DATA5.2";"Caribbean";"Panama";"Bocas del Toro"
2016;"SL1";"Sponge";2,553469693;"Isla Solarte";9,312184;-82,217241;5,00000016;"DATA5.2";"Caribbean";"Panama";"Bocas del Toro"
2016;"SL1";"Milleporidae";0,321285;"Isla Solarte";9,312184;-82,217241;5,00000016;"DATA5.2";"Caribbean";"Panama";"Bocas del Toro"
2016;"SL1";"Other_organism";0,414308396;"Isla Solarte";9,312184;-82,217241;5,00000016;"DATA5.2";"Caribbean";"Panama";"Bocas del Toro"
2016;"SL1";"Turf and Coralline";32,2861754;"Isla Solarte";9,312184;-82,217241;5,00000016;"DATA5.2";"Caribbean";"Panama";"Bocas del Toro"
2016;"SL1";"Algae_other";0,587331652;"Isla Solarte";9,312184;-82,217241;5,00000016;"DATA5.2";"Caribbean";"Panama";"Bocas del Toro"
2016;"SL2";"Abiotic";5,044497992;"Isla Solarte";9,316707;-82,215971;4,00001232;"DATA5.2";"Caribbean";"Panama";"Bocas del Toro"
2016;"SL2";"Hard Coral";47,47309237;"Isla Solarte";9,316707;-82,215971;4,00001232;"DATA5.2";"Caribbean";"Panama";"Bocas del Toro"
2016;"SL2";"Soft Coral";0,32064257;"Isla Solarte";9,316707;-82,215971;4,00001232;"DATA5.2";"Caribbean";"Panama";"Bocas del Toro"
2016;"SL2";"Sponge";0,560321285;"Isla Solarte";9,316707;-82,215971;4,00001232;"DATA5.2";"Caribbean";"Panama";"Bocas del Toro"
2016;"SL2";"Milleporidae";0,320321;"Isla Solarte";9,316707;-82,215971;4,00001232;"DATA5.2";"Caribbean";"Panama";"Bocas del Toro"
2016;"SL2";"Other_organism";0,320321285;"Isla Solarte";9,316707;-82,215971;4,00001232;"DATA5.2";"Caribbean";"Panama";"Bocas del Toro"
2016;"SL2";"Turf and Coralline";41,31855422;"Isla Solarte";9,316707;-82,215971;4,00001232;"DATA5.2";"Caribbean";"Panama";"Bocas del Toro"
2016;"SL2";"Algae_other";4,962570281;"Isla Solarte";9,316707;-82,215971;4,00001232;"DATA5.2";"Caribbean";"Panama";"Bocas del Toro"
2016;"SL3";"Abiotic";16,44621849;"Isla Solarte";9,320635;-82,218417;5,999988;"DATA5.2";"Caribbean";"Panama";"Bocas del Toro"
2016;"SL3";"Hard Coral";30,27815126;"Isla Solarte";9,320635;-82,218417;5,999988;"DATA5.2";"Caribbean";"Panama";"Bocas del Toro"
