"DatasetID";"Area";"Country";"Archipelago";"Location";"Site";"Zone";"Latitude";"Longitude";"Depth";"Year";"Date";"Replicate";"Method";"Observer";"Category";"Group";"Family";"Genus";"Species";"Cover"
"DATA1";"Pacific";"USA";"Mariana Islands";"Guam";"Coco's Island";"Fringing reef";13,239981;144,665624;NA;2014;"2014-05-06";1;"Point Intercept Transect";"LM";"Abiotic";"Rubble";NA;NA;NA;2
"DATA1";"Pacific";"USA";"Mariana Islands";"Guam";"Coco's Island";"Fringing reef";13,239981;144,665624;NA;2014;"2014-05-06";1;"Point Intercept Transect";"LM";"Abiotic";"Sand";NA;NA;NA;34
"DATA1";"Pacific";"USA";"Mariana Islands";"Guam";"Coco's Island";"Fringing reef";13,239981;144,665624;NA;2014;"2014-05-06";1;"Point Intercept Transect";"LM";"Algae";"Macroalgae";NA;NA;NA;64
"DATA1";"Pacific";"USA";"Mariana Islands";"Guam";"Coco's Island";"Fringing reef";13,239981;144,665624;NA;2014;"2014-05-06";2;"Point Intercept Transect";"RS";"Abiotic";"Rock";NA;NA;NA;2
"DATA1";"Pacific";"USA";"Mariana Islands";"Guam";"Coco's Island";"Fringing reef";13,239981;144,665624;NA;2014;"2014-05-06";2;"Point Intercept Transect";"RS";"Abiotic";"Rubble";NA;NA;NA;4
"DATA1";"Pacific";"USA";"Mariana Islands";"Guam";"Coco's Island";"Fringing reef";13,239981;144,665624;NA;2014;"2014-05-06";2;"Point Intercept Transect";"RS";"Abiotic";"Sand";NA;NA;NA;10
"DATA1";"Pacific";"USA";"Mariana Islands";"Guam";"Coco's Island";"Fringing reef";13,239981;144,665624;NA;2014;"2014-05-06";2;"Point Intercept Transect";"RS";"Algae";"Coralline algae";"Porolithaceae";"Porolithon";NA;2
"DATA1";"Pacific";"USA";"Mariana Islands";"Guam";"Coco's Island";"Fringing reef";13,239981;144,665624;NA;2014;"2014-05-06";2;"Point Intercept Transect";"RS";"Algae";"Macroalgae";NA;NA;NA;82
"DATA1";"Pacific";"USA";"Mariana Islands";"Guam";"Coco's Island";"Fringing reef";13,239981;144,665624;NA;2014;"2014-05-06";3;"Point Intercept Transect";"LS";"Abiotic";"Rock";NA;NA;NA;2
"DATA1";"Pacific";"USA";"Mariana Islands";"Guam";"Coco's Island";"Fringing reef";13,239981;144,665624;NA;2014;"2014-05-06";3;"Point Intercept Transect";"LS";"Abiotic";"Rubble";NA;NA;NA;10
"DATA1";"Pacific";"USA";"Mariana Islands";"Guam";"Coco's Island";"Fringing reef";13,239981;144,665624;NA;2014;"2014-05-06";3;"Point Intercept Transect";"LS";"Abiotic";"Sand";NA;NA;NA;34
