"Replicate";"Year";"Country";"Site";"Latitude";"Longitude";"Depth";"Tax_ID";"Cover";"Lat_degree";"Lat_min";"Lat_sec";"Lat_side";"Long_degree";"Long_min";"Long_sec";"Long_side";"DatasetID";"Area"
"MB1";2010;"Jamaica";"Montego Bay";18,4838055555556;-77,9456944444444;5;"Non living";36;18;29;1,7;"N";77;56;44,5;"W";"DATA2";"Caribbean"
"MB1";2010;"Jamaica";"Montego Bay";18,4838055555556;-77,9456944444444;5;"Sponges";21;18;29;1,7;"N";77;56;44,5;"W";"DATA2";"Caribbean"
"MB1";2010;"Jamaica";"Montego Bay";18,4838055555556;-77,9456944444444;5;"Macroalgae";24;18;29;1,7;"N";77;56;44,5;"W";"DATA2";"Caribbean"
"MB1";2010;"Jamaica";"Montego Bay";18,4838055555556;-77,9456944444444;5;"Hard coral";7;18;29;1,7;"N";77;56;44,5;"W";"DATA2";"Caribbean"
"MB1";2010;"Jamaica";"Montego Bay";18,4838055555556;-77,9456944444444;5;"Turf algae";12;18;29;1,7;"N";77;56;44,5;"W";"DATA2";"Caribbean"
"MB1";2015;"Jamaica";"Montego Bay";18,4838055555556;-77,9456944444444;5;"Non living";28;18;29;1,7;"N";77;56;44,5;"W";"DATA2";"Caribbean"
"MB1";2015;"Jamaica";"Montego Bay";18,4838055555556;-77,9456944444444;5;"Sponges";30;18;29;1,7;"N";77;56;44,5;"W";"DATA2";"Caribbean"
"MB1";2015;"Jamaica";"Montego Bay";18,4838055555556;-77,9456944444444;5;"Macroalgae";19;18;29;1,7;"N";77;56;44,5;"W";"DATA2";"Caribbean"
"MB1";2015;"Jamaica";"Montego Bay";18,4838055555556;-77,9456944444444;5;"Hard coral";19;18;29;1,7;"N";77;56;44,5;"W";"DATA2";"Caribbean"
"MB1";2015;"Jamaica";"Montego Bay";18,4838055555556;-77,9456944444444;5;"Turf algae";4;18;29;1,7;"N";77;56;44,5;"W";"DATA2";"Caribbean"
"MB1";2020;"Jamaica";"Montego Bay";18,4838055555556;-77,9456944444444;5;"Non living";6;18;29;1,7;"N";77;56;44,5;"W";"DATA2";"Caribbean"
"MB1";2020;"Jamaica";"Montego Bay";18,4838055555556;-77,9456944444444;5;"Sponges";15;18;29;1,7;"N";77;56;44,5;"W";"DATA2";"Caribbean"
"MB1";2020;"Jamaica";"Montego Bay";18,4838055555556;-77,9456944444444;5;"Macroalgae";14;18;29;1,7;"N";77;56;44,5;"W";"DATA2";"Caribbean"
